Column_Name,Variable Type,pre/post,Priority,Adobe Variable Name,Description,example,data type,Use instead,Dynamic Pricing,Transformation,Transformations,Transformation Type,Extended Column Type,New Column 1,New Column 2,New Column 3,New Column 4,New Column 5,New Column 6,New Column 7
mvvar2,custom,pre,,Optimizely Test ID (l2),Collects the Optimizely Test ID from the website. Used to analyse the AB test on the adidas website,7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links|7819110840::WWW_and_M_-_EU_-_Sitewide_-_ClickTale_Off_vs_On::7793727009::ClickTale_On|7763853877::100% - ECOMIT-10094 - EU - Hiding Wishlist Links and Send to a Friend on PDP & My Account Dashboard (Opti X)::7770445377::Hide wishlist links,,post_mvvar2,,,,,,,,,,,,
mvvar3,custom,pre,,Personalization (l3),Collect the monetate ID. Used for AB test to analyse the performance of tests,,,post_mvvar3,,,,,,,,,,,,
namespace,standard,,,,"Not currently populated, reserved for future release.",,String (255 characters),,,,,,,,,,,,,
new_visit,standard,,,,A flag that determines if the current hit is a new visit.,0,8-bit unsigned integer,,,,,,,,,,,,,
os,standard,,,,Operating system ID (has lookup table).,1311978077,32-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
p_plugins,standard,,,,List of plugins available to the browser.,,String (64k characters),,,,,,,,,,,,,
page_event,standard,pre,,,Page event ID, the type of hit that is sent in the request. Look-ups provided for type of event (normal,download, exit, custom),10,8-bit unsigned integer,post_page_event,,,,,,,,
page_event_var1,standard,pre,,,Related to the page_event column. It is the URL of the download link, exit link or custom link clicked.,http://cfg.adidas.com/configurator/miadidas/responsive.html,String (64k characters),post_page_event_var1,,,,,,,,,,,
page_event_var2,standard,pre,,,If you have individually named your link, this column contains the link name.,MI:CONFIG|MAIN|LACES,String (255 characters),post_page_event_var2,,,,,,,,,,,
page_event_var3,standard,pre,,,Used for both Survey and Media module, and serves as the pre-version for both modules. (This column contains the value passed in on the hit for the page event.),,String (64k characters),post_page_event_var3,,,,,,,,,,,
page_type,standard,pre,,,page type variable (only used for error page).,,String (255 characters),post_page_type,,,,,,,,,,,,
page_url,standard,pre,,,The URL of the pageview. The address of the page in the address bar of the browser.,https://m.adidas.co.uk/on/demandware.store/Sites-adidas-GB-Site/en_GB/Cart-Show,String (64k characters),post_page_url,,,,,,,,,,,,
pagename,standard,pre,,,The name of the page (if set).,CART|EMPTY CART,String (100 characters),post_pagename,,,,,,,,,,,,
paid_search,standard,pre,,,A (1/0) flag that determines if the hit was used for paid search tracking.,0,8-bit unsigned integer,post_pagename_no_url,,,,,,,,,,,,
partner_plugins,standard,pre,,,Not usable by customers. This is a comma-separated list of plungin_ids (usually about 5 characters each) for plugins that partners have registered with us.,,String (255 characters),post_partner_plugins,,,,,,,,,,,,
persistent_cookie,standard,pre,,,A flag indicating if 3rd party cookies and/or persistent cookies are enabled.,Y,String (1 character),post_persistent_cookie,,,,,,,,,,,,
plugins,standard,pre,,,List of plugin IDs available to the browser (has lookup table) This is the post value.,,String (255 characters),,,Feed Lookup,,,,,,,,,,
pointofinterest,standard,pre,,,Point of Interest Name,,string (255 characters),post_pointofinterest,,,,,,,,,,,,
pointofinterestdistance,standard,pre,,,Distance to Point of Interest Center,,string (255 characters),post_pointofinterestdistance,,,,,,,,,,,,
post_browser_height,standard,post,1,,Height in pixels of the browser window.,460,32-bit unsigned integer,,,,,,,,,,,,,
post_browser_width,standard,post,1,,Width in pixels of the browser window.,320,32-bit unsigned integer,,,,,,,,,,,,,
post_campaign,standard,post,1,,Persisting value of campaign.,AdieSEM_Google-_-adidas-Brand-B-Exact-_-Brand-adidas-X-General-_-adidas,String (255 characters),,,?,,Parse,,,,,,,,
post_channel,standard,post,,,Custom traffic variable for site sections (channels).,CART,String (100 characters),,,,,,,,,,,,,
post_cookies,standard,post,1,,Specifies whether JavaScript session cookie is accepted.,Y,string (1 character),,,,,,,,,,,,,
post_currency,standard,post,1,,Type of currency for the transaction.,GBP,String (3 characters),,,,,,,,,,,,,
post_cust_hit_time_gmt,standard,post,1,,Timestamp actually used for the hit, this is cust_hit_time_gmt for timestamp-enabled report suites, or hit_time_gmt otherwise.,1479566120,32-bit unsigned integer,,,,,,,,,,,
post_cust_visid,standard,post,1,,Post version of the cust_visid field. What we ended up using for the hit.,NULL,8-bit unsigned integer,,,,,,,,,,,,,
post_evar1,custom,post,1,Page Name (v1),The name of the page where the current user activity was tracked by Adobe Analytics. It is used for analyzing the traffic, engagements and conversions of each page and has values as defined by adidas. This value gets a new value in each user activity and previous value gets expired simultaneously,CART|EMPTY CART,,,,,,,,,,,,,
post_evar10,custom,post,1,Customer ID [eUCI] (v10),"It is an ID set to a customer based on a login or purchase, but cannot lead back to PII. It helps analyse how ""known customers"" behave on our website cross visit. It changes whenever another customer login on the device. ",ZQJAJ1YPCRMPGB6A,,,,,,,,,,,,,,
post_evar11,custom,post,1,Login Status (v11),"User Login status. If the user is logged in, it has a value ""Logged in"" else it has a value "" Anonymous"". This value is persisted throughout the visit unless and until it is overwritten by a new value. The persisted value can be seen in post_eVar11 column",ANONYMOUS,,,,,,,,,,,,,,
post_evar12,custom,post,1,Internal Search Term (v12),"Search Term. It has the values formatted in 3 parts "" <actual search query>|<search type>|<matched suggestion>"".  It is used to analyze what all products are being searched for on the website. Also, it is useful in tracking purchase (if any) after the searches . This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar12 column",NON-INTERNAL SEARCH,,,,,,,,,,,,,
post_evar13,custom,post,1,Internal Search Type (v13),The location and kind of search performed. It has values like  TOP-RIGHT-SEARCH-QUERY, MIDDLE-SEARCH-SUGGESTION etc. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar13 column,MIDDLE-SEARCH-QUERY ,,,,,,,,,,,,,
post_evar14,custom,post,1,Number of Results (v14),It contains the number of results shown based on a search. It help analyse the behavior of customers based on the results they received based on a search. ,12,,,,,,,,,,,,,,
post_evar15,custom,post,1,Filter List (v15),"It collects the list of filters being used by the user while searching for the product. Each element in the list is separated by a pipe ( ""|"" ). Every element collects the type of filter and the value of filter. Eg. F1-SPORT:FOOTBALL|F2-CATEGORY:SHOES shows that 2 filters were used namely sport and category and values chosen for each filter was Football and Shoes respectively. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar15 column",F1-SPORT:FUSSBALL|F2-CATEGORY:FITNESS & TRAINING-CLOTHING,,,,,,,,,,,,,,
post_evar16,custom,post,1,Sort Applied (v16),It contains the information on sorting applied by the user while searching for the products on the website. It is used to analyze the user behavior while searching the product. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar16 column,PRICE-LOW-TO-HIGH,,,,,,,,,,,,,,
post_evar17,custom,post,1,Breadcrumb (v17),It collects the breadcrumb of the page. This help analyse how visitors found the page. In the current configuration is does not represent the sequence, but more the end result. ,BC1:HOME|BC2:MEN,,,,,,,,,,,,,
post_evar18,custom,post,1,Product Gender (v18),It contains the gender of the products listed either on PLP and PDP pages. It used to identify what gender related products are viewed during a visit. It changes based on the type of product(s) shown on the page. ,MEN,,,,,,,,,,,,,,
post_evar19,custom,post,1,Product Category (v19),It collects the category of products listed on either PLP or PDP page. It used to analyse what categories a customer visited. It changes on the moment another category is viewed by the customer. ,"SHOES CLOTHING",,,,,,,,,,,,,,
post_evar2,custom,post,1,Site Section (v2),It is the name of the section a visited page belongs to. It is used to analyse the section visited by our customers. This value gets a new value on the moment a customers visits a new site section,MEN|SHOES,,,,,,,,,,,,,,
post_evar20,custom,post,1,Product Type (v20),It contains the type of products displayed on the PLP and PDP page. It used to analyse the type of products a customer visits. It changes when a customer views another product type,SHIRTS,,,,,,,,,,,,,,
post_evar21,custom,post,1,Product Sport (v21),It collects the sport category of a product on PLP and PDP pages. It used to analyse the interest in different sport types. The value changes whenever the customer changes the sport category of products,FOOTBALL,,,,,,,,,,,,,,
post_evar22,custom,post,1,Product Brand (v22),It contains the product brand of products on PLP and PDP a customer is viewing. It used to analyse the brands a customer is interested in. The value changes on the moment a customer visits a product to another brand,NEO,,,,,,,,,,,,,,
post_evar23,custom,post,1,Product Collection (v23),It collects the product collection of products on PLP and PDP a customer is viewing. It used to analyse the collections a customer is interested in. The value changes on the moment a customer visits a product to another collection. ,MESSI,,,,,,,,,,,,,,
post_evar24,custom,post,1,Video Name|Category (v24),It contains the name of the video and the video category the video belongs to. It used to analyse what videos customers viewed and to what category the video belonged. ,NO NAME|ORIGINALS_HOME,,,,?,,Parse,,,,,,,,
post_evar25,custom,post,1,Order ID (v25),"It is an alphanumeric unique key assigned to every {purchase} made on adidas and reebok websites. It is used as a  unique identifier of a purchase being made on website. It gets a new value every time a purchase is made on the website and this value get expired after the purchase. The Order ID is divided into 3 parts: the first character is ""A"" or ""R"" depending on whether the purchase was done on  Adidas or Reebok site. The next two characters determine the country eg UK - United Kingdom, CA - Canada. the rest of the characters is a unique number assigned to every purchase",AUK04294593,string,,Y,,,,,,,,,,
post_evar26,custom,post,1,Order Product Mix (v26),It contains the product type of inline and mi adidas products. It used to analyse the type of product customers viewed or bought. The value changes on the moment they view another product type. ,INLINE, MIADIDAS,,,,,,,,,,,,,
post_evar27,custom,post,1,Customer City:State:Country [Billing] (v27),It contains the city, state and country that’s collected on the billing page. It used to analyse data on geography. I changes on the moment new billing data is used. ,HAMBURG:NONE:DE,,,,?,,Parse,,,,,,,
post_evar28,custom,post,1,Payment Type (v28),It contains the type of payment used to pay for the order. It used to analyse what payment types are being used on the website,CREDIT_CARD,,,,,,,,,,,,,,
post_evar29,custom,post,1,Promo Code (v29),It collects the promocode when an order is placed on the website. It used to analyse what promocodes are used and revenue attributed to it. ,ADI-MEMBER-B9VLX,,,,,,,,,,,,,,
post_evar3,custom,post,1,Page Type (v3),It is a category of the page where user activity was tracked by Adobe Analytics. It is used for analyzing the overall performance of each category and has value like PDP, PLP, Home, Search, Help, Configurator etc . This value gets a new value in each user activity and previous value gets expired simultaneously,PDP,,,,,,,,,
post_evar30,custom,post,1,Checkout Type (v30),It contains the type of checkout a customer used making a purchase. It used to analyse how customer checkout. ,GUEST CHECKOUT,,,,,,,,,,,,,,
post_evar31,custom,post,1,Delivery Method (v31),Collects the delivery method used for checkout. Used to analyse the delivery methods used. ,STANDARD,,,,,,,,,,,,,,
post_evar32,custom,post,1,Site Promotion ID (v32),This contains the value of {Internal Campaigns} through which visitor navigated to the desired page . This is used to determine which Internal campaigns are commercially successful and which are not. If user reached the desired page through the internal campaigns, it will contain the value of campaign ID. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar32 column,default-_--_-certona-top_pdp-recommendations-_-,,,,?,,Parse,,,,,,,
post_evar33,custom,post,1,Navigation Element (v33),Contains the elements of navigation used to reach a specific page. This used for analysing the navigation elements used for customers. ,header-_-customerinfo-_-mein konto,,,,?,,Parse,,,,,,,,
post_evar34,custom,post,1,Certona Recommendations Carousel (v34),This contains the value of {Certona Recommendation location} through which visitor navigated to the desired page . This is used to determine which locations of certona recommendations are commercially successful and which are not. If user reached the desired page through the certona campaigns, it will contain the value of location. This value gets persisted unless and until it is overwritten by a new value or user makes a purchase. The persisted value can be seen in post_eVar34 column,product_rr|1,,,,?,,Parse,,,,,,,
post_evar35,custom,post,1,Product Finding Method (v35),Collects the product finding method used by a customer. used to analyse the PFM used by customers. ,SITE NAVIGATION, INTERNAL SEARCH,,,,,,,,,,,,,
post_evar36,custom,post,1,Add to Cart Location (v36),This collects the location where a cart was performed. ,PDP,,,,,,,,,,,,,,
post_evar37,custom,post,1,PLP Attributes (v37),It contains final details for the attributes (banner, promotion, wallpaper, filter) of the page where products are listed,  derived after applying {persistence}, {processing} and {vista rules}.  It has the value OFF or ON for each of the 4 attributes. It is used to analyze which combination of attributes contribute more towards revenue. This value gets persisted through eVa37 unless and until it is overwritten by a new value or user makes a purchase. It is the source of PLP attributes report (eVar37) in Adobe Analytics,BANNER: OFF|PROMO: OFF|WALLPAPER: OFF|FILTER: ON,,,,?,,Parse,,,
post_evar38,custom,post,1,Model ID (v38),Collects the Model ID on the PDP page. used for merchandising analysis. ,IET56,,,,,,,,,,,,,,
post_evar39,custom,post,1,Article ID [Long] (v39),This contains the Article ID plus size. This used to analyse the correlation of products and sizes. ,BA8842_580,,,,,,,,,,,,,,
post_evar4,custom,post,1,Previous Page (v4),"It is a final value for name of the page of the website from where user navigated to current page derived after applying {persistence}, {processing} and {vista rules}. If user has just entered the website, then eVar4 will contain ""No Value"" as a value. This is due to the fact that there was no page before the current page. It is used to analyze the user navigation on the website. This is a persisted value of eVar4 which gets a new value in each user activity and previous value gets expired simultaneously. It is the source of Previous Page report (eVar4) in Adobe Analytics",SHOPPING CART|CART,,,,,,,,,,,,,,
post_evar40,custom,post,1,Product Availability (v40),It collects the availability of the product and will report if products are in or out of stock,IN STOCK,,,,,,,,,,,,,,
post_evar41,custom,post,1,Product Personalisation Applied (v41),Will report if a product is personalized. used to analyse the rate of personalized.  ,NO,,,,,,,,,,,,,,
post_evar42,custom,post,1,Product Price (v42),It stores the price of the product. This metrics is used for analysing prize related metrics. ,126.01 EUR,,,,,,,,,,,,,,
post_evar43,custom,post,1,Product Colour (v43),This contains the color of the product. used to analyse the color of products selected by customers. ,SOLAR BLUE / CARBON METALLIC / BLACK,,,,,,,,,,,,,,
post_evar44,custom,post,1,Product Size (v44),It collects the sizes of products . used to analyse sizes of products.,5,5,,,,,,,,,,,,,
post_evar45,custom,post,1,Product Rating (v45),This contains the rating provided to a product. used to analyse the correlation between ratings, views and sales ,3,7,,,,,,,,,,,,
post_evar46,custom,post,1,Product Number of Reviews (v46),It collects the number of reviews tied to a product. used to analyse the correlation between the number of reviews and the number of views, conversion and sales,1,,,,,,,,,,,,,
post_evar47,custom,post,1,Product Recipe ID (v47),This is the recipe ID of mi adidas products. This is used to analyse product related data. ,R1481649023893_NG,,,,,,,,,,,,,,
post_evar48,custom,post,1,Product Inspiration Name (v48),It collects the inspiration name of a mi adidas product. ,MI SAMBA,,,,,,,,,,,,,,
post_evar49,custom,post,1,AB Test Group DW (v49),Contains the DW AB test name. This is used by DW to analyse AB test on the adidas website. ,NEW A/B TEST - 03/21/2017 11:12 AM:REVENUE,,,,,,,,,,,,,,
post_evar5,custom,post,1,Country:Language (v5),It is an indicator of the country name and the language of the website on which user has visited, derived after applying {persistence}, {processing} and {vista rules}. It has two letter code each for country and language separated by colon (:) and is used for knowing which languages are preferred by users for navigating the website of different countries. This value is persisted via eVar5 throughout the visit unless and until it is overwritten by a new value. It is the source of Country:Language report (eVar5) in Adobe Analytics,DE:DE,,,Y,Y,Extract the first 2 characters representing country,Parse,Dimension,country_c,?,,,
post_evar50,custom,post,1,Broadlog ID [Neolane] (v50),This contains the Broadlog ID from Neolane. This is used to analyse CRM campaigns. ,(None),,,,,,,,,,,,,,
post_evar51,custom,post,1,Email Signup Type (v51),This contains the location where customers sign up for login, CRM activations and any other sign up,"HEADER OVERLAY",,,,,,,,,,,,,
post_evar52,custom,post,1,Social Channel (v52),Collects the social channel link on PDP pages. used to analyse how customers use social capabilities on the website,"FACEBOOK EMAIL",,,,,,,,,,,,,,
post_evar53,custom,post,1,Form Name (v53),This collects the form name of any form used on the website. used to perform anlysis on the usage of forms and succes rate,DWFRM_CART,,,,,,,,,,,,,,
post_evar54,custom,post,1,Encrypted Email Address (v54),It contains the encrypted email adress. This used to analyse the behaviour of registered customer,gQsFZhJAg4ckKVSsDv8jlEeqc4bifGVQFbqrUyPy86Q=,,,,,,,,,,,,,,
post_evar55,custom,post,1,AB Test Optimizely ID (v55),This collects the IDs of Optimizely AB tests. This is used to analyse AB test on our website. ,Monetate CH-P13N-10-Below-70 -A-,,,,,,,,,,,,,,
post_evar56,custom,post,1,Product Finding Method Stacking (v56),"It is the final value for  collection of {product finding methods} (eVar35) separated by ( "">"" ) which is derived after applying {persistence}, {processing} and {vista rules}. It is used to know the different methods which were used to find the product before it was purchased. It can hold up to 5 values of individual methods. This is a persisted value of eVar56 which gets expired after a day or before that if the user makes a purchase. . It is the source of Product finding menthod - Stack  report (eVar56) in Adobe Analytics",CERTONA RECOMMENDATIONS,,,,,,,,,,,,,
post_evar57,custom,post,1,Visit Number (v57),This collects the amount of visits that a visitor visited the website,2,,,,,,,,,,,,,,
post_evar58,custom,post,1,Merchandising Section (v58),Contains the section of the website where products were found. ,MEN|SHOES|BASKETBALL,,,,,,,,,,,,,,
post_evar59,custom,post,1,Delivery IDs (v59),This contains the delivery ID used in emails. Used to analyse the delivery of email campaigns,1162837247,,,,,,,,,,,,,,
post_evar6,custom,post,1,Date/Time (v6),It contains the time (24hour format) and day of the timezone of a customer. It used to analyse what timezone a customer was on the moment they visited the website. It changes per page based on the time. ,23:30|Monday,,,,?,,Parse,,,,,,,,
post_evar60,custom,post,1,Optimizely End User Id (v60),This collects the Optimizely end user ID. Used to analyse how users use the website ,Optimizely_WAT_352_OUTLET_Header,,,,,,,,,,,,,,
post_evar61,custom,post,1,Product Price Type (v61),Collects the type of product price. Can be used to analyse the price typesused on our website,FULL PRICE, ON SALE,,,,,,,,,,,,,
post_evar62,custom,post,1,Krux Segment,This collects the krux segment on the website. Use for analysing personalized pages,f123rt2198,,,,,,,,,,,,,,
post_evar63,custom,post,1,,,,,,,,,,,,,,,,,
post_evar64,custom,post,1,Visit Page Number (v64),This collects the visit number of the customer. Used for analysis the visit number of the website,1,,,,,,,,,,,,,,
post_evar65,custom,post,1,Cookie Consent Choice (v65),Collects the choice fo customers on the cookie consent. Used for legal purposes,NON EU,,,,,,,,,,,,,,
post_evar66,custom,post,1,Tool Interaction (v66),It collects the name of the 3rd party tool. Used to track the what tools are being used on our website. In format Tool name|Interaction name|Interaction input. ,Tool|select item|AZ8044,,,,,,,,,,,,,,
post_evar67,custom,post,1,Products Compared To (v67),Collects the Tealium version that is used on the page. ,AQ3109,,,,,,,,,,,,,,
post_evar68,custom,post,1,Number of Products on PLP (v68),"It is a final numeric value representing the number of products returned by the website based on user's search criteria. It is derived after applying {persistence}, {processing} and {vista rules} to eVar68 column. It is used to analyze the available inventory of adidas with respect to users interest. This value gets persisted through eVar68 unless and until it is overwritten by a new value or user makes a purchase.. It is the source of ""No of Products on PLP"" report (eVar68) in Adobe Analytics",139, 90,,,,,,,,,,,,,
post_evar69,custom,post,1,Product Teamwear (v69),,,,,,,,,,,,,,,,
post_evar7,custom,post,1,Page Owner (v7),It is the final value for the name of the owner category of the page on which current user activity was tracked by Adobe Analytics, derived after applying {persistence}, {processing} and {vista rules}. It can have any value among ECOM, CATALOG, BRAND and HYPE depending on owner to which page belongs to. It is useful in analyzing the overall performance of each owner category. This value gets persisted via eVar7, throughout the visit unless overwritten by a new value. . It is the source of Page Owner report (eVar7) in Adobe Analytics,ECOM,,,,,,,,,
post_evar70,custom,post,1,404 URLs (v70),This is used to collect the URL before a 404 page. Used to analyse the location of a 404 page. ,http://m.adidas.gr/-,,,,,,,,,,,,,,
post_evar71,custom,post,1,Tool Name (v71),This contains the name of the tool. Used to analyse the tools that are displayed on the website,BAZAARVOICE, CERTONA,,,,,,,,,,,,,
post_evar72,custom,post,1,Tool State (v72),Collects the state ot the tool. Used to analyse how customers engage with the tool,AVAILABLE, EXPOSED, ENGAGED,,,,,,,,,,,,
post_evar73,custom,post,1,Tool Product Model (v73),It collects the model ID where the tool is shown on PDP pages. ,DUB42, BEF43,,,,,,,,,,,,,
post_evar74,custom,post,1,,,,,,,,,,,,,,,,,
post_evar75,custom,post,1,,,,,,,,,,,,,,,,,
post_evar8,custom,post,1,Brand Campaign (v8),It is the final value for the name of various campaigns categorized by brand names for which they are running, derived after applying {persistence}, {processing} and {vista rules}. It is used to analyze the effectiveness of the brand campaign efforts. This value gets persisted through eVar8 unless and until it is overwritten by a new value or user makes a purchase. It is the source of Brand Campaign report (eVar8) in Adobe Analytics,ORIGINALS CLP,,,,,,,,,,,,
post_evar9,custom,post,1,Hype - Release Status | Visitor Status,It resambles the release state for the customer on the hype pages. This used to analyse what states are applicable for the customers. It changes when a customer signs up for a new hype product,SIGNUP OPEN:NOT SIGNED UP,,,,,,,,,,,,,,
post_event_list,standard,post,1,,Comma separated list of numeric IDs representing events passed in from the customer.,12,10,205,100,101,102,103,104,106,String (64k characters),,Y,Y,"(1) Classify ""12"" as a cart add event + (2) Classify 200 as pdp views.  To be summed up at a Date,Country,Brand, Mobile Device Type, Last Touch Channel, Last Touch Channel Detail, Product level to get the total #cart additions",Classify + Sum,Metric,cart additions,pdp views,,,,,
post_hier1,standard,post,,,,,,,,,,,,,,,,,,
post_hier2,standard,post,,,,,,,,,,,,,,,,,,
post_hier3,standard,post,,,,,,,,,,,,,,,,,,
post_hier4,standard,post,,,,,,,,,,,,,,,,,,
post_hier5,standard,post,,,,,,,,,,,,,,,,,,
post_java_enabled,standard,post,,,Flag indicating whether or not java is enabled.,N,string (1 character),,,,,,,,,,,,,
post_keywords,standard,post,,,The keywords that were actually used for the hit.,,String (100 characters),,,,,,,,,,,,,
post_mobileaction,standard,post,,,post version of mobileaction,,String,,,,,,,,,,,,,
post_mobileappid,standard,post,,,post version of mobileappid,,String,,,,,,,,,,,,,
post_mobilecampaigncontent,standard,post,,,post version of mobilecampaigncontent,,String,,,,,,,,,,,,,
post_mobilecampaignmedium,standard,post,,,post version of mobilecampaignmedium,,String,,,,,,,,,,,,,
post_mobilecampaignname,standard,post,,,post version of mobilecampaignname,,String,,,,,,,,,,,,,
post_mobilecampaignsource,standard,post,,,post version of mobilecampaignsource,,String,,,,,,,,,,,,,
post_mobilecampaignterm,standard,post,,,post version of mobilecampaignterm,,String,,,,,,,,,,,,,
post_mobiledayofweek,standard,post,,,post version of mobiledayofweek,,String,,,,,,,,,,,,,
post_mobiledayssincefirstuse,standard,post,,,post version of mobiledayssincefirstuse,,String,,,,,,,,,,,,,
post_mobiledayssincelastuse,standard,post,,,post version of mobiledayssincelastuse,,String,,,,,,,,,,,,,
post_mobiledevice,standard,post,,,post version of mobiledevice,,String,,,,,,,,,,,,,
post_mobilehourofday,standard,post,,,post version of mobilehourofday,,String,,,,,,,,,,,,,
post_mobileinstalldate,standard,post,,,post version of mobileinstalldate,,String,,,,,,,,,,,,,
post_mobilelaunchnumber,standard,post,,,post version of mobilelaunchnumber,,String,,,,,,,,,,,,,
post_mobileltv,standard,post,,,post version of mobileltv,,String,,,,,,,,,,,,,
post_mobileosversion,standard,post,,,post version of mobileosversion,,String,,,,,,,,,,,,,
post_mobileresolution,standard,post,,,post version of mobileresolution,,String,,,,,,,,,,,,,
post_mvvar1,custom,post,1,Form Errors (l1),It collects the error type in the event of a form completion error on the website. Used to analyse what form error our customers experience on the website. ,USERNAME|PASSWORD,,,,,,,,,,,,,,
post_mvvar2,custom,post,1,Optimizely Test ID (l2),Collects the Optimizely Test ID from the website. Used to analyse the AB test on the adidas website,7819110840::www_and_m_-_eu_-_sitewide_-_clicktale_off_vs_on::7793727009::clicktale_on--**--7763853877::100% - ecomit-10094 - eu - hiding wishlist links and send to a friend on pdp & my account dashboard (opti x)::7770445377::hide wishlist links,,,,?,,Parse,,,,,,,,
post_mvvar3,custom,post,1,Personalization (l3),Collect the monetate ID. Used for AB test to analyse the performance of tests.,ch-exp-104.0-store-inventory-lookup-impact[v2],,,,,,,,,,,,,,
post_page_event,standard,post,1,,Page event ID, the type of hit that is sent in the request.,100,8-bit unsigned integer,,Y,,,Classify,,,,,,,
post_page_event_var1,standard,post,,,Related to the page_event column. It is the URL of the download link, exit link or custom link clicked.,,String (100 characters),,,,,,,,,,,,
post_page_event_var2,standard,post,,,If you have individually named your link, this column contains the link name.,ADD PROMO CODES|CART,String (100 characters),,,,,,,,,,,,
post_page_event_var3,standard,post,,,Used for both Survey and Media module, and serves as the pre-version for both modules. (This column contains the value passed in on the hit for the page event.),,String (64k characters),,,,,,,,,,,,
post_page_type,standard,post,,,,,,,,,,,,,,,,,,
post_page_url,standard,post,1,,The URL of the pageview. The address of the page in the address bar of the browser.,https://m.adidas.co.uk/on/demandware.store/Sites-adidas-GB-Site/en_GB/Cart-Show,String (255 characters),,,,,,,,,,,,,
post_pagename,standard,post,1,,The name of the page (if set). If no page is specified the URL is placed in this value.,CART|EMPTY CART,String (100 characters),,,,,,,,,,,,,
post_pagename_no_url,standard,post,,,The name of the page (if set). If no page is specified this value is left empty.,CART|EMPTY CART,String (100 characters),,,,,,,,,,,,,
post_partner_plugins,standard,post,,,List of partner plugins available to the browser (has lookup table).,,String (100 characters),,,Feed Lookup,,,,,,,,,,
post_persistent_cookie,standard,post,1,,Flag indicating if 3rd party cookies and/or persistent cookies are enabled.,Y,string (1 character),,,,,,,,,,,,,
post_pointofinterest,standard,post,,,,,,,,,,,,,,,,,,
post_pointofinterestdistance,standard,post,,,,,,,,,,,,,,,,,,
